iter	Passed	Remaining
1284	3670	10610
1285	3672	10606
1286	3675	10602
1287	3677	10598
1288	3680	10595
1289	3682	10590
1290	3684	10586
1291	3687	10582
1292	3689	10578
1293	3692	10575
1294	3694	10571
1295	3697	10566
1296	3700	10563
1297	3702	10559
1298	3704	10555
1299	3707	10551
1300	3710	10548
1301	3713	10545
1302	3715	10541
1303	3717	10537
1304	3720	10534
1305	3723	10531
1306	3725	10527
1307	3728	10524
1308	3731	10520
1309	3733	10516
1310	3735	10512
1311	3738	10509
1312	3741	10506
1313	3743	10502
1314	3746	10499
1315	3749	10495
1316	3751	10492
1317	3754	10488
1318	3756	10484
1319	3759	10481
